player_age,b_k_pct,b_bb_pct,ops,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_pct,hard_hit_pct,z_swing_pct,z_swing_miss_pct,oz_swing_pct,oz_swing_miss_pct,oz_contact_pct,iz_contact_pct
29,30.6,9.7,50.8,85.3,8.5,3.6,3.6,33.7,62.2,22.1,32.8,54.7,45.3,77.9
26,38.4,3.6,44.2,86.7,10.9,6.3,4.8,30.2,71.1,16,37.3,49.5,50.5,84
25,20.5,2.8,65.2,86.8,7.9,4.6,6.4,36,66,16.2,45.1,27.8,72.2,83.8
28,17.8,6.9,62.9,85.6,15.3,4.7,3.9,32,68.9,13.3,23.9,36.4,63.6,86.7
25,24.9,10.1,60.7,87.7,5.8,1.4,4.7,33.8,66.4,16.4,24.1,41.5,58.5,83.6
25,26.9,4.5,57.7,83.2,9.4,2.4,3.9,25.2,70.9,21.4,34.9,42.5,57.5,78.6
25,29.8,5.2,45.5,87,10,3.9,2.6,32.9,72.2,22.9,36.4,49.2,50.8,77.1
26,27.8,5.7,61.9,85.7,9,4.3,6.5,32.8,67,18.4,26.7,48,52,81.6
28,17.2,11.2,67,87,5.5,1.7,1.7,33.6,58.9,12.8,20.3,36.2,63.8,87.2
24,20.4,3.9,65.3,84.7,6.2,1.5,5.1,25,76.6,15.1,44.5,46.4,53.6,84.9
26,22.9,8.3,59.6,88.2,12.2,3.7,0.9,29.2,67.6,17.2,26,35.6,64.4,82.8
26,17.3,6,66.2,86.9,11.1,3.7,4.2,31.6,74.4,15.9,37.6,40.6,59.4,84.1
27,21.4,2.4,65.3,86.8,8.3,2.1,6.3,35.4,57.3,14.6,40,34.4,65.6,85.4
28,26,7.8,66.6,86.6,12.9,2.7,4.8,34.7,72.8,19.4,23.3,50.9,49.1,80.6
32,32.4,5.9,61.7,92.2,13.7,11.5,5.3,46,68.1,25.5,30.2,57.5,42.5,74.5
24,38.2,13.7,65.3,90.7,15.3,14.9,12.8,53.2,63.2,34.6,15.2,50,50,65.4
27,27.9,7.7,63.8,88.9,19.5,6.5,5.2,32.3,69,22.6,28.3,52.8,47.2,77.4
25,33.9,7.5,62.8,91.2,16.1,3.7,4.6,46.3,63.3,30.8,28.3,45.4,54.6,69.2
28,16.8,8.2,67,86.2,14.6,1.5,2.5,15.7,65.8,16.3,27.3,25.6,74.4,83.7
24,22.1,6.3,61.9,87.2,6.8,1.3,1.9,33.5,57.8,9.1,28.4,37.7,62.3,90.9
29,28,12.9,61.2,86,12.4,3.6,6.1,30.4,61.7,18.4,23.7,35.3,64.7,81.6
22,30.9,5.5,62.2,84.7,18.1,1.5,4.4,25,70.5,22.1,39.8,43.5,56.5,77.9
22,29.7,6.8,54.2,87.5,4.9,1.1,4.3,27.7,63.2,21.4,24.3,49.3,50.7,78.6
26,20.7,4.3,63.1,87.4,9.4,2.7,3.8,30.9,68,16.8,30.5,41.6,58.4,83.2
23,29.4,9.5,56.6,88.6,18.6,7.4,2.5,32.2,55.7,15.8,24.1,49.6,50.4,84.2
26,26.8,10.5,65,90.5,13,9.1,3.9,43.7,65.1,16.4,28,45.8,54.2,83.6
23,25.2,6.3,62.5,87.8,7.4,4.6,4.6,36.5,72.5,19.2,26.9,41.4,58.6,80.8
24,39.8,10.2,47.8,83,19.7,4.8,4.8,20.6,59.6,21.6,26.7,53.4,46.6,78.4
25,26.1,11.5,62.4,89,10.3,6.2,13.4,42.3,67.7,24.4,22.4,40.3,59.7,75.6
34,16.9,18.4,69.9,88,12.2,6.7,8.5,36.6,60.8,15.8,16.5,35,65,84.2
24,34.6,6.5,70.7,87.4,14.3,14.2,4.5,39.6,71.3,35.6,30.4,58.3,41.7,64.4
30,24.2,15.7,72,88.5,14.2,12.4,8.3,40,59.5,19,15.9,53.3,46.7,81
28,35.8,4.1,67.4,87.4,8.5,4.3,10.1,39.1,66.4,28.2,30.9,61.4,38.6,71.8
34,30.9,16.4,72.3,86.1,19.1,8.1,3.5,26.7,62.9,21.9,23.5,47.1,52.9,78.1
30,21.2,10.6,67.9,86.2,19.3,5,6.8,28.6,70.7,18.8,18.5,39.8,60.2,81.2
30,24.8,15.4,73.3,86.6,7.2,3.5,3.5,33.7,53.6,11.5,16.1,46.8,53.2,88.5
31,16.7,7.1,71.2,85.7,11.1,5.7,3.1,30.8,73.9,23.3,33.1,30.8,69.2,76.7
23,32.2,8.8,73.5,87.9,16.7,13,9.2,40.5,80.8,31.5,39.6,57.6,42.4,68.5
25,16.8,9.9,67.4,85.8,11.5,1.8,6.6,31.1,58.5,11.1,22.6,37.9,62.1,88.9
30,27.8,8.9,71.7,90.9,19.8,7.9,9.6,44.7,69.6,25.1,24.4,40.9,59.1,74.9
27,29.5,13.4,70.1,92.8,8.8,11.2,8.8,47.2,62.1,21.9,27.6,39.2,60.8,78.1
34,27.7,9.9,70.6,84.5,11.2,4.8,12.9,27.4,71.1,26.7,22.5,46.3,53.7,73.3
27,10.8,3.6,73.2,89.2,10,3.7,6.1,40.5,61.6,9.2,28,25,75,90.8
29,20.9,4.1,68,88.5,16.2,7.3,9.2,43.1,70.7,15.7,30.1,44.2,55.8,84.3
26,36.8,7.9,71,88.3,10.8,9.5,3.2,44.4,65.7,28.8,29.3,59.2,40.8,71.2
24,17.5,13.8,72.4,88.8,14.7,3.7,6.5,38.3,67,22,20.1,46.5,53.5,78
25,14,6.1,69.9,87.2,0.8,2.2,2.8,31.1,65.9,9.5,27.2,32.7,67.3,90.5
33,25.9,6.6,71.1,91.7,18.6,8.6,6.7,43.8,63.7,20.9,22.2,57.5,42.5,79.1
25,31.2,12.1,70.5,87.8,13.9,6.2,4.6,33.1,62.1,19.3,27.4,51.3,48.7,80.7
30,14.4,9.6,67.2,86.5,10.8,0.6,3.2,26.6,64.1,10.7,23.3,30.1,69.9,89.3
25,33.9,14,74.1,88.8,20,12.3,7,36.8,68.8,27,20.5,69,31,73
26,34.2,9.3,71.4,90.1,9.2,11.2,4.7,43,67.5,22.3,26.7,54.9,45.1,77.7
27,35,12.8,67.9,91.2,26.8,14,4.4,43.9,66.3,29.7,19.2,66.3,33.7,70.3
33,23.3,6.8,72.1,89,15.3,9.7,9.7,38.9,82.5,18.8,27.4,56.7,43.3,81.3
28,24.3,14.7,72.2,89.5,10.2,8.5,7.3,41.5,51,16.5,16.1,40.8,59.2,83.5
28,24.6,8,67.9,93,12.5,10.3,4.6,44.8,67,25.1,27.9,44.3,55.7,74.3
22,32.1,10.4,70.1,88.9,14.3,6.5,9.1,41.6,64,25.2,29.8,39.5,60.5,74.8
26,15.7,8.2,67.9,89.4,7.5,4.1,6.6,33.9,62.5,15.8,31,38.7,61.3,84.2
26,20.3,8.5,72.2,86.2,16.7,4,4.8,30.6,75.8,18.5,32.8,37.2,62.8,81.5
27,28.7,9.8,67.1,89.2,21.7,7.5,7.5,40.6,75.1,20.9,24.4,64.4,35.6,79.1
37,16.3,7.1,70.4,89,9.5,1.9,6.5,42.1,62.1,7.5,23,27.4,72.6,92.5
29,10,7.5,73.8,87.8,19.1,5.4,4.2,33.7,66.2,9.5,32.4,32.8,67.2,90.5
25,18,7.7,67.1,89.9,9.4,4.7,7,40.4,63.5,9.6,24.4,43.6,56.4,90.4
27,22.5,9,70.8,87.7,9.5,7.4,4.1,31.7,66.9,14.6,29,50.4,49.6,85.4
23,23.8,7.8,71.6,91,13.6,10,5,42.9,77.7,20.8,32.4,50.8,49.2,79.2
30,26.4,12.6,68.3,87.7,-0.4,6.3,3.1,41.7,72.2,19.7,23.9,58.3,41.7,80.3
28,30.7,10.2,71.8,87.9,11.5,6.7,4,32,59.1,11.8,25.2,68.8,31.3,88.2
28,13,2.2,69.6,82.2,13,1,3.1,20.4,74.2,11.1,51.3,24.2,75.8,88.9
34,24.4,6.4,68.4,87.8,20.5,5.2,6.1,31.3,62.1,19,28.5,41.1,58.9,81
29,24.8,13.8,74.1,89,15.7,3.4,10.1,39.3,67.4,21.4,22.4,61.8,38.2,78.6
35,18.7,5.3,72.2,91.7,10.7,11.5,3.8,45.2,62.4,12.2,27.8,41.4,58.6,87.8
33,24.9,9.3,68,89.5,14.7,11,7.8,41.6,73.7,20.3,30.9,46.1,53.9,79.7
