"name" "year" "player_age" "b_total_pa" "b_k_pct" "b_bb_pct" "ops" "xops" "xba" "xslg" "xwoba" "xobp" "xiso" "exit_velocity_avg" "launch_angle_avg" "barrel_batted_rate" "solidcontact_pct" "hard_hit_pct" "z_swing_pct" "z_swing_miss_pct" "oz_swing_pct" "oz_swing_miss_pct" "oz_contact_pct" "iz_contact_pct"
"62" "Tucker Barnhart" 2020 29 110 25.5 10.9 67.9 72.3 22.7 41.2 30.2 31.1 18.5 85.4 19.7 7.1 4.3 18.6 64.3 18.5 23 40.4 59.6 81.5
"63" "Travis Shaw" 2020 30 180 27.8 8.9 71.7 74.9 24.2 43.9 31 31 19.6 90.9 19.8 7.9 9.6 44.7 69.6 25.1 24.4 40.9 59.1 74.9
"64" "Austin Romine" 2020 32 135 34.8 3 58.2 53 20.9 29.8 22.4 23.2 8.9 87.9 7.7 4.8 8.3 47.6 71.8 20.2 36.3 48 52 79.8
"65" "Brian Anderson" 2020 27 229 28.8 9.6 81 74.7 22.8 42.5 31.2 32.2 19.7 87.4 9.6 9.6 6.7 39.3 73.2 27.9 29.7 47.3 52.7 72.1
"66" "Matt Carpenter" 2020 35 169 28.4 13.6 64 75.8 21.5 40.8 32.3 35 19.3 88.2 17 9.8 4.3 35.9 60.5 25 20.2 55.7 44.3 75
"67" "Cesar Hernandez" 2020 30 261 21.8 9.2 76 73.5 27 39.1 31.7 34.4 12.1 89.1 5.6 4 6.8 37.3 63.3 10.1 22.3 47.5 52.5 89.9
"68" "Kyle Schwarber" 2020 27 224 29.5 13.4 70.1 78.4 22.5 44.4 33 34 21.9 92.8 8.8 11.2 8.8 47.2 62.1 21.9 27.6 39.2 60.8 78.1
"69" "Cole Tucker" 2020 24 116 26.7 4.3 52.5 49 19.8 25.9 21.5 23.1 6.1 83.1 13.3 2.5 0 25 64.8 18.1 27.4 59.3 40.7 81.9
"70" "Wilson Ramos" 2020 33 155 20 6.5 68.4 72.7 24.8 42 30.3 30.7 17.1 89 6.5 7.1 6.3 42 79 19.7 32 40.2 59.8 80.3
"71" "J.D. Davis" 2020 27 229 24.5 13.5 76.1 81.1 25.8 43 34.8 38.1 17.1 90.1 3.3 8.9 4.4 45.2 66.1 21.5 23.5 51.4 48.6 78.5
