player_age,b_k_pct,b_bb_pct,ops,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_pct,hard_hit_pct,z_swing_pct,z_swing_miss_pct,oz_swing_pct,oz_swing_miss_pct,oz_contact_pct,iz_contact_pct
28,15.6,6.6,77.8,86.7,8.4,5.8,7.9,38.6,71.2,15.7,32.8,40.1,59.9,84.3
26,15.9,7.3,94.3,93.2,11.9,15.8,13,55.9,82.2,14.2,30.3,56,44,85.8
31,15.6,11.5,75.5,87.7,16.7,7.8,4.8,34.7,55.7,9.8,31.6,32.9,67.1,90.2
26,20.3,8.5,72.2,86.2,16.7,4,4.8,30.6,75.8,18.5,32.8,37.2,62.8,81.5
27,27.6,4.7,61.1,87.3,9.8,4.7,5.9,32.9,69.1,29.7,30.1,42.4,57.6,70.3
24,24.8,5.3,89.1,92.4,5.7,16.5,7,55.7,75.4,22.5,37.9,39.8,60.2,77.5
33,13.3,12.9,78.8,89.1,17.7,10.2,6.3,39.8,62.3,13.1,20.6,40,60,86.9
27,26.7,1.5,84.4,91.2,23.6,13.5,8.3,47.9,79,18.6,48.9,45.8,54.2,81.4
37,16.3,7.1,70.4,89,9.5,1.9,6.5,42.1,62.1,7.5,23,27.4,72.6,92.5
36,27.7,13.5,68.2,86.7,12.5,3.4,8,32.2,66.2,23.9,25,51.2,48.8,76.1
27,33.9,17.9,80.3,91.4,17.8,19.2,1.9,46.2,75.3,28.7,23.2,52.6,47.4,71.3
25,21.1,7,68.5,86.5,8.2,3.8,4.4,33.5,60.4,11.3,25.7,36.2,63.8,88.7
26,21,11.4,59.3,86.7,12.6,1.5,4.4,28.8,58.3,11.4,22.2,41,59,88.6
31,22.2,15.2,79.5,89.7,19.4,7.7,8.5,39.4,57.6,18.4,19.3,40,60,81.6
25,27.4,10.1,63.1,87.5,10.2,10.2,3.9,38.3,69.9,15.8,27.6,52.7,47.3,84.2
26,25.9,11.2,91.6,89.8,18.1,17.5,5.1,43.1,72.6,28,20.9,63,37,72
29,10,7.5,73.8,87.8,19.1,5.4,4.2,33.7,66.2,9.5,32.4,32.8,67.2,90.5
27,12.2,7,55.5,85.5,8.7,0.7,5.1,28.3,60.2,5.7,27.7,32.6,67.4,94.3
25,28.9,8.6,53.3,87.1,2.6,6.3,3.8,32.5,62.3,23.5,28.2,57.5,42.5,76.5
30,23.1,1.9,98.6,91,14.2,13.9,9.6,47,79.3,16.2,43.5,41.4,58.6,83.8
31,18,19.4,79.3,88.2,11.1,6.9,6.1,38.2,66.1,22.6,15.5,48,52,77.4
25,18,7.7,67.1,89.9,9.4,4.7,7,40.4,63.5,9.6,24.4,43.6,56.4,90.4
26,22.5,8.3,71.1,88.1,11,8.5,6.4,39.1,78,19.7,28.4,46.5,53.5,80.3
21,41.7,5.3,47.8,90.6,11.4,4.3,11.6,36.2,70.4,35.4,34,54,46,64.6
27,22.5,9,70.8,87.7,9.5,7.4,4.1,31.7,66.9,14.6,29,50.4,49.6,85.4
30,13.4,16.4,91.5,90.1,19.5,6.3,7.6,40.5,66.7,8.8,16.6,36.4,63.6,91.2
23,11.5,4.8,61.8,86.8,7.8,3.5,2.4,34.1,69.8,9.7,27.1,31.4,68.6,90.3
23,23.8,7.8,71.6,91,13.6,10,5,42.9,77.7,20.8,32.4,50.8,49.2,79.2
26,15.6,9.4,83.1,89.8,10.6,10.5,5.6,42.7,58.1,10.3,19,38.8,61.2,89.7
29,37.4,7.5,53.7,92.9,20.8,12.6,8.4,51.6,72.7,32.9,34.4,59.6,40.4,67.1
23,6.4,3.7,74.5,84,4.1,0,0,20.8,61.3,6.9,25.9,20,80,93.1
27,28.2,1.9,75.9,84,10.6,1.4,5.6,23.9,72.8,14.2,38.8,42.1,57.9,85.8
40,15.3,5.5,66.5,88.6,16.4,5.5,5.5,34.4,64.6,11.6,35.4,39.7,60.3,88.4
23,28,4.8,60.6,82.2,19,1.7,5.1,22.9,71.2,21.2,28.6,42.9,57.1,78.8
30,17.6,9.4,94.7,90.9,17.8,10.7,4.1,44.3,72.8,15.4,31.5,38.5,61.5,84.6
28,30.7,10.2,71.8,87.9,11.5,6.7,4,32,59.1,11.8,25.2,68.8,31.3,88.2
24,28.7,10.4,65.3,86.2,18.4,4.4,5.9,38.2,65.7,20,27.8,53,47,80
28,13,2.2,69.6,82.2,13,1,3.1,20.4,74.2,11.1,51.3,24.2,75.8,88.9
34,24.4,6.4,68.4,87.8,20.5,5.2,6.1,31.3,62.1,19,28.5,41.1,58.9,81
31,18.5,9.8,82.5,89.7,12.5,7.8,7,43.4,62.5,16,16.3,36.8,63.2,84
31,12.6,6.3,70.2,86.5,6,0,0,31.4,64.5,11.6,28,27.9,72.1,88.4
29,24.8,13.8,74.1,89,15.7,3.4,10.1,39.3,67.4,21.4,22.4,61.8,38.2,78.6
23,26.7,8.3,60.2,87.7,2.3,1.3,5.2,27.3,56.3,17.2,25.5,34.9,65.1,82.8
25,31.6,5.1,63.6,88.3,10,7.1,7.1,37.8,71.2,26.4,32.3,64.4,35.6,73.6
38,13.2,4.9,89.6,90.4,6.2,7.4,8.8,46.6,76.3,9.6,42,35.3,64.7,90.4
33,30.4,13.3,74.4,86.2,18.2,9.3,4,30.7,57.7,14.3,23.2,53.4,46.6,85.7
29,26.4,4.1,61.3,88.5,5.5,6.7,8.2,44,74.2,19.1,35,56.1,43.9,80.9
28,38.5,10.1,59.8,88.8,16,9.8,9.8,40.2,66.4,30.6,26.1,55.5,44.5,69.4
27,33.6,4.3,57.3,85.8,9.7,2.9,2.9,25.7,68.5,18.6,25.1,68.6,31.4,81.4
35,18.7,5.3,72.2,91.7,10.7,11.5,3.8,45.2,62.4,12.2,27.8,41.4,58.6,87.8
33,22.5,6.9,98.7,92.9,10.9,14.3,9.3,53.3,68.6,19.7,32.2,48.1,51.9,80.3
33,24.4,7.8,79.2,88.7,12.4,9.4,4.7,39.4,78.1,21.7,31.7,55.1,44.9,78.3
33,24.9,9.3,68,89.5,14.7,11,7.8,41.6,73.7,20.3,30.9,46.1,53.9,79.7
34,30,10,61.7,88.7,14.6,6.2,12.3,46.9,68.2,20.3,31.6,45.5,54.5,79.7
29,20,10.5,88.6,91.6,15,11.1,12.5,41.7,67.9,20.6,23.1,46.2,53.8,79.4
29,29,13,78.1,89.1,17.9,14.4,5.3,44.7,63.3,21.7,23.9,53.4,46.6,78.3
25,17.3,12.3,78.9,89.3,16.6,9.4,7,41.5,68.1,19.6,27.9,31.9,68.1,80.4
31,26.9,14.6,80.7,89.8,11.2,13.4,6.2,43.3,59.7,31,23.7,45.2,54.8,69
26,26.8,5.4,63.6,88.1,7.9,7.9,3.9,36.8,71.1,20.7,36.2,47.6,52.4,79.3
23,24.2,4,77.3,86.7,17.8,9.1,6.8,28.4,81.8,16.3,33.8,45.9,54.1,83.7
30,22.5,14.2,106.7,93,16.4,15.4,8.3,54.4,68.5,21,28.3,51.8,48.2,79
26,31.4,13.9,73.4,92.3,19.6,12.8,8.3,45.9,67.4,29.5,19.8,51.9,48.1,70.5
27,27.5,7.8,71.6,91.1,10.4,4.5,10.6,47,62.2,13.1,24.2,54.5,45.5,86.9
26,21.1,4.2,70.6,90,10.7,3.8,6.4,41.4,68.9,18.8,41.6,37.2,62.8,81.2
27,18.4,11.2,76,88.5,21.9,5.1,7.4,38.2,66.5,11.2,24.1,47.4,52.6,88.8
26,14.4,13.3,80.1,88.9,17.3,3.9,6.3,33.6,56.2,8.2,18.1,32.9,67.1,91.8
37,22.1,10.4,74.6,93.2,12.1,9.7,5.8,49.7,70.5,18.4,29.9,55.9,44.1,81.6
27,36,4,62.4,89.2,2.8,7,7,49.1,80.1,28.9,44.5,60,40,71.1
28,31,12.7,56.2,81.6,18.7,7.2,2.9,21.7,68.7,22.8,32.6,41.4,58.6,77.2
31,17.1,10.8,89.6,88.7,18.3,12.4,5.9,42.5,74,19.2,23.6,42.6,57.4,80.4
21,15.6,8.2,79.1,92.5,4.6,8.7,6,50.8,74.2,17.4,24.5,44.1,55.9,82.6
31,18.4,5.8,79.8,87.1,13.4,5.4,5.4,36.5,67.2,15.6,36.8,42.9,57.1,84.4
36,14.9,10.3,86,90.3,17.5,11.2,9.6,44,67.2,13.2,19,46.2,53.8,86.8
28,27.2,8.2,64.4,86.1,20.7,5.5,9.9,31.9,74.4,22,23.8,50,50,78
26,22.2,7.2,70.9,88.6,11.4,5.9,6.5,41.8,65.7,14.4,31.8,40.8,59.2,85.6
25,23,15.5,80.5,87.4,16.7,5,8.8,30.8,58.7,18.2,13.6,44.7,55.3,81.8
27,23.8,9.7,87.2,90.2,13.3,10.3,6.6,47.1,67.5,16.7,26,51.7,48.3,83.3
25,15.7,8.7,88.6,90.7,10.6,8.4,9.5,45.3,70.1,14.5,34,38.6,61.4,85.5
27,24.5,10.3,92.7,88.4,11,11,6.2,36.6,64.8,16.6,25.3,48,52,83.4
